filename,relative_path,video_id,segment_index,label,clean_status,sha256,sample_rate,channels,sample_width_bytes,n_frames,duration_s,rms_dbfs,silence_ratio,clipping_ratio,split
0eDJFB70peE_seg_000.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/0eDJFB70peE_seg_000.wav,0eDJFB70peE,000,spasmodic_dysphonia,clean_pool,0d40522f3caf1a7487c2f5acfe7c20c0f6b289215db4236a5410291c51674208,16000,1,2,48000,3.0,-26.85,0.416,0.0,train
0eDJFB70peE_seg_001.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/0eDJFB70peE_seg_001.wav,0eDJFB70peE,001,spasmodic_dysphonia,clean_pool,392184dd016351dfd05e67dcd60181f31183d9a878cc1510f7eb11f967c2cb43,16000,1,2,48000,3.0,-30.17,0.6523,0.0,train
0eDJFB70peE_seg_002.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/0eDJFB70peE_seg_002.wav,0eDJFB70peE,002,spasmodic_dysphonia,clean_pool,2b6f3f18850d320e73235b6d1317e3fc4e15c9ee6a97beac1ced06864040c5fb,16000,1,2,48000,3.0,-31.67,0.7354,0.0,train
0eDJFB70peE_seg_003.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/0eDJFB70peE_seg_003.wav,0eDJFB70peE,003,spasmodic_dysphonia,clean_pool,3c57d31f8b5791a8ede57ec699e416ab372c4053581ea476f4ed1d9de6ef9567,16000,1,2,48000,3.0,-30.58,0.6743,0.0,train
0eDJFB70peE_seg_004.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/0eDJFB70peE_seg_004.wav,0eDJFB70peE,004,spasmodic_dysphonia,clean_pool,f686f6598981c0ae4645e2edcfc9c82a69bd57dd8c700a6f3cb6a180c184e946,16000,1,2,48000,3.0,-29.14,0.5099,0.0,train
0eDJFB70peE_seg_006.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/0eDJFB70peE_seg_006.wav,0eDJFB70peE,006,spasmodic_dysphonia,clean_pool,cea4abbbcc6e465ae334cedea88efdc6e5d54b15ec811fb920dfc932455f0f4d,16000,1,2,48000,3.0,-28.04,0.5556,0.0,train
0eDJFB70peE_seg_007.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/0eDJFB70peE_seg_007.wav,0eDJFB70peE,007,spasmodic_dysphonia,clean_pool,d5452acc62417962df364d8e59fb7698cb12cfef00cfa5738695a6cf76431b75,16000,1,2,48000,3.0,-26.07,0.3678,0.0,train
0eDJFB70peE_seg_009.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/0eDJFB70peE_seg_009.wav,0eDJFB70peE,009,spasmodic_dysphonia,clean_pool,52e899b8a759bd0a0483096a558db1a631675d53a894f903c58679804c6f7251,16000,1,2,48000,3.0,-32.72,0.6102,0.0,train
0eDJFB70peE_seg_010.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/0eDJFB70peE_seg_010.wav,0eDJFB70peE,010,spasmodic_dysphonia,clean_pool,33957c182dbd5d3b9cd1735d6e2c638cbb5980f6dcce673b26be1fe175b607dc,16000,1,2,48000,3.0,-35.23,0.7398,0.0,train
0eDJFB70peE_seg_012.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/0eDJFB70peE_seg_012.wav,0eDJFB70peE,012,spasmodic_dysphonia,clean_pool,2ca84d4289a624fb69fb1008033e00f056f0e7daf1e74673b2db924d6ede2df8,16000,1,2,48000,3.0,-33.92,0.6967,0.0,train
0eDJFB70peE_seg_014.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/0eDJFB70peE_seg_014.wav,0eDJFB70peE,014,spasmodic_dysphonia,clean_pool,7ed71b9d33c2516bf24ce7018721fda9400ca39983db45c7911811e21f6e43ad,16000,1,2,48000,3.0,-31.65,0.7019,0.0,train
0eDJFB70peE_seg_016.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/0eDJFB70peE_seg_016.wav,0eDJFB70peE,016,spasmodic_dysphonia,clean_pool,fce79a49b021c4cb13597b653b4eff76a4c1d1611f659a95e99352dee27f18b1,16000,1,2,48000,3.0,-32.37,0.585,0.0,train
0eDJFB70peE_seg_017.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/0eDJFB70peE_seg_017.wav,0eDJFB70peE,017,spasmodic_dysphonia,clean_pool,55ee8310ff5bed3756b737faf62153a04ca09836bda78459a4e9242146cc74a8,16000,1,2,48000,3.0,-32.16,0.6587,0.0,train
1gqAGauWj4U_seg_000.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/1gqAGauWj4U_seg_000.wav,1gqAGauWj4U,000,spasmodic_dysphonia,clean_pool,f06115dffaab5576706e44e1afb87f0830bb816fb7ee6f39eb6406a7108a0cf8,16000,1,2,48000,3.0,-30.93,0.1538,0.0,train
1gqAGauWj4U_seg_001.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/1gqAGauWj4U_seg_001.wav,1gqAGauWj4U,001,spasmodic_dysphonia,clean_pool,a63d4190eab53810f170428ef9ab524f7c5d827e21acc15701097c1ec553d845,16000,1,2,48000,3.0,-28.27,0.2781,0.0,train
1gqAGauWj4U_seg_002.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/1gqAGauWj4U_seg_002.wav,1gqAGauWj4U,002,spasmodic_dysphonia,clean_pool,b345f5d640ba3d60d2982e3319c7aaf5e8600fb6d79f6bd948ce47c2a37b9391,16000,1,2,48000,3.0,-28.36,0.4479,0.0,train
1gqAGauWj4U_seg_003.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/1gqAGauWj4U_seg_003.wav,1gqAGauWj4U,003,spasmodic_dysphonia,clean_pool,acbb013763da2970b4c279f8a179a40d150527b82323bb77e4cc05120d86c74a,16000,1,2,48000,3.0,-30.81,0.4481,0.0,train
1gqAGauWj4U_seg_004.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/1gqAGauWj4U_seg_004.wav,1gqAGauWj4U,004,spasmodic_dysphonia,clean_pool,3e03a905649134e93bd745ccbec2f590dc2ade804bed146ef81b368a97aefffd,16000,1,2,48000,3.0,-30.34,0.4166,0.0,train
1gqAGauWj4U_seg_005.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/1gqAGauWj4U_seg_005.wav,1gqAGauWj4U,005,spasmodic_dysphonia,clean_pool,906d2c261f18e4cbec8f67f3c5424ac038eae5c3dbe346b69e1fb327cd8d313f,16000,1,2,48000,3.0,-33.3,0.6114,0.0,train
1gqAGauWj4U_seg_006.wav,data/interim/segmented_clean_relaxed/spasmodic_dysphonia/1gqAGauWj4U_seg_006.wav,1gqAGauWj4U,006,spasmodic_dysphonia,clean_pool,d0eace07e80b37ac70910bdf71794bbac797bb9e55fd126d48a179f321b8b10f,16000,1,2,48000,3.0,-32.1,0.4993,0.0,train
