<<<<<<< HEAD
path,label,label_id,fold
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_000.wav,stuttering,0,1
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_001.wav,stuttering,0,3
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_002.wav,stuttering,0,4
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_003.wav,stuttering,0,4
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_004.wav,stuttering,0,0
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_005.wav,stuttering,0,2
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_006.wav,stuttering,0,0
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_007.wav,stuttering,0,4
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_008.wav,stuttering,0,1
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_009.wav,stuttering,0,2
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_010.wav,stuttering,0,0
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_011.wav,stuttering,0,0
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_012.wav,stuttering,0,0
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_013.wav,stuttering,0,1
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_014.wav,stuttering,0,2
C:\Users\e\OneDrive\Ekler\Masaüstü\Projelerim\MakineProje\data\processed\train_set\stuttering\-K2CowG3Ywk_seg_015.wav,stuttering,0,1
